Arrival_Date,Room_Category,Fare_Class,forecast_mu,forecast_sigma,ci_lower_95,ci_upper_95
2025-10-06,Family,Y1_High,2.649986866996501,2.3621693302151483,-1.979779946696762,7.279753680689764
2025-10-07,Family,Y1_High,2.3161041087942476,2.369024250270141,-2.3270981013268557,6.959306318915351
2025-10-08,Family,Y1_High,2.0579392912148164,2.37591263285878,-2.59876390069492,6.714642483124553
2025-10-09,Family,Y1_High,2.3783186383621615,2.3822922371333095,-2.290888348164205,7.047525624888528
2025-10-10,Family,Y1_High,2.109197439683454,2.389001464869893,-2.573159391573779,6.791554270940687
2025-10-11,Family,Y1_High,2.519173707360453,2.3953785890623545,-2.1756820576418763,7.214029472362783
2025-10-12,Family,Y1_High,2.116592035666393,2.405498749686385,-2.5980988796814515,6.831282951014238
2025-10-13,Family,Y1_High,2.5976144644640797,2.412448262964285,-2.130697246621728,7.3259261755498875
2025-10-14,Family,Y1_High,2.290874640936599,2.419386917830148,-2.451036583790646,7.032785865663843
2025-10-15,Family,Y1_High,2.053701351384684,2.4263589762406124,-2.7018748567283866,6.809277559497755
2025-10-16,Family,Y1_High,2.3481527471233514,2.432854343118176,-2.4201541461391054,7.116459640385808
2025-10-17,Family,Y1_High,2.100912334652188,2.439658771890429,-2.680730993942383,6.882555663246759
2025-10-18,Family,Y1_High,2.4776871686895205,2.4461503320247595,-2.3166793839748,7.272053721353841
2025-10-19,Family,Y1_High,2.107819454032839,2.4560408487716945,-2.7059321552485134,6.921571063314191
2025-10-20,Family,Y1_High,2.549872127544465,2.4630548518135793,-2.2776266750896625,7.377370930178593
2025-09-16,Family,Y2_Medium,2.3161983322311146,2.6043600600764427,-2.7882535894911493,7.4206502539533785
2025-09-17,Family,Y2_Medium,2.5441916110785927,2.6327714440080343,-2.6159455999135988,7.704328822070784
2025-09-18,Family,Y2_Medium,2.4151362184660212,2.6389570787440215,-2.7571246138330694,7.587397050765112
2025-09-19,Family,Y2_Medium,2.372346979902707,2.643900848782483,-2.8096034636218903,7.554297423427304
2025-09-20,Family,Y2_Medium,2.806695356320297,2.648728938759108,-2.384717969674825,7.9981086823154195
2025-09-21,Family,Y2_Medium,2.363757476043741,2.653538476506127,-2.8370823707200366,7.5645973228075185
2025-09-22,Family,Y2_Medium,2.494908982914059,2.6583384116302775,-2.71533856382339,7.705156529651508
2025-09-23,Family,Y2_Medium,2.511077168296438,2.678265380194702,-2.7382265191575104,7.760380855750386
2025-09-24,Family,Y2_Medium,2.5445571596568737,2.68460074839762,-2.717163621306508,7.806277940620255
2025-09-25,Family,Y2_Medium,2.525329019692988,2.6900549594097347,-2.747081818420729,7.797739857806705
2025-09-26,Family,Y2_Medium,2.5197946087211482,2.695421400261251,-2.7631342601891724,7.802723477631469
2025-09-27,Family,Y2_Medium,2.5885565473474808,2.7007701237909956,-2.7048556270468618,7.881968721741823
2025-09-28,Family,Y2_Medium,2.5207613416942185,2.706107624596974,-2.78311214204975,7.824634825438187
2025-09-29,Family,Y2_Medium,2.54232977742615,2.711434558411245,-2.7719843047442683,7.856643859596568
2025-09-30,Family,Y2_Medium,2.545999793049307,2.718493914068541,-2.782150371966718,7.874149958065331
2025-10-01,Family,Y2_Medium,2.5523645866157842,2.7240386190342645,-2.7866530004405092,7.891382173672078
2025-10-02,Family,Y2_Medium,2.550524770424226,2.7294429422074145,-2.7990850954147426,7.900134636263195
2025-10-03,Family,Y2_Medium,2.550816536263194,2.734824746286219,-2.809341471744558,7.910974544270946
2025-10-04,Family,Y2_Medium,2.562673359560828,2.740194888381787,-2.808009933548569,7.933356652670225
2025-10-05,Family,Y2_Medium,2.5532735366258703,2.7455544260392517,-2.8279142572684086,7.934461330520149
2025-10-06,Family,Y2_Medium,2.5577841635689897,2.750903512521273,-2.8338876471827015,7.949455974320681
2025-10-07,Family,Y2_Medium,2.5595087013156497,2.7564960241643144,-2.8431242308420956,7.962141633473395
2025-10-08,Family,Y2_Medium,2.561652711377135,2.761861064217558,-2.8514955060630505,7.97480092881732
2025-10-09,Family,Y2_Medium,2.56251958220124,2.7671959683558867,-2.8610848552134973,7.9861240196159775
2025-10-10,Family,Y2_Medium,2.563718257599745,2.7725187875344504,-2.8703187137036448,7.997755228903134
2025-10-11,Family,Y2_Medium,2.56671716349045,2.7778312393474205,-2.8777320220384084,8.011166349019309
2025-10-12,Family,Y2_Medium,2.5664072347431435,2.7831335352607733,-2.888434259813699,8.021248729299986
